NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
20231,2,8400.0,0.0,40000.0,9701.736495,1000,19200.0,37901.7365,203000.0,53300.0,1000,45000,1979,25,1
20241,1,0.0,24700.0,0.0,15717.83919,0,22800.0,17617.83919,515000.0,139611.1672,0,50000,1935,69,3
20284,2,12000.0,0.0,20000.0,6665.254782,0,48000.0,-9334.745219,303000.0,25500.0,0,40000,1956,48,1
20284,2,12000.0,0.0,20000.0,6665.254782,0,48000.0,-9334.745219,303000.0,25500.0,0,40000,1955,49,2
20284,2,12000.0,0.0,20000.0,6665.254782,0,48000.0,-9334.745219,303000.0,25500.0,0,40000,1980,24,3
20284,2,12000.0,0.0,20000.0,6665.254782,0,48000.0,-9334.745219,303000.0,25500.0,0,40000,1984,20,3
20284,2,12000.0,0.0,20000.0,6665.254782,0,48000.0,-9334.745219,303000.0,25500.0,0,40000,1992,12,3
20297,2,13000.0,0.0,0.0,41.486165,130,16200.0,-3288.513835,7500.0,5000.0,0,12100,1960,44,1
20372,2,8000.0,15600.0,1800.0,8254.971475,4000,21600.0,8054.971475,249296.9829,58800.0,5000,18500,1947,57,3
20372,2,8000.0,15600.0,1800.0,8254.971475,4000,21600.0,8054.971475,249296.9829,58800.0,5000,18500,1948,56,2
20372,2,8000.0,15600.0,1800.0,8254.971475,4000,21600.0,8054.971475,249296.9829,58800.0,5000,18500,1972,32,1
20375,2,0.0,19500.0,0.0,7820.743083,0,22200.0,5120.743083,146000.0,2500.0,0,19000,1944,60,3
20375,2,0.0,19500.0,0.0,7820.743083,0,22200.0,5120.743083,146000.0,2500.0,0,19000,1946,58,3
20393,2,26250.0,0.0,0.0,3791.486165,4000,19250.0,6791.486165,217000.0,5000.0,3000,29000,1953,51,1
20393,2,26250.0,0.0,0.0,3791.486165,4000,19250.0,6791.486165,217000.0,5000.0,3000,29000,1955,49,3
20393,2,26250.0,0.0,0.0,3791.486165,4000,19250.0,6791.486165,217000.0,5000.0,3000,29000,1985,19,3
20393,2,26250.0,0.0,0.0,3791.486165,4000,19250.0,6791.486165,217000.0,5000.0,3000,29000,1988,16,3
20393,2,26250.0,0.0,0.0,3791.486165,4000,19250.0,6791.486165,217000.0,5000.0,3000,29000,1990,14,3
20499,1,0.0,23400.0,0.0,8016.011165,0,19200.0,12216.01117,360000.0,30000.0,0,15000,1930,74,3
20499,1,0.0,23400.0,0.0,8016.011165,0,19200.0,12216.01117,360000.0,30000.0,0,15000,1921,83,3
20704,2,0.0,11616.0,35000.0,11742.91858,0,36000.0,22358.91858,190000.0,189875.8532,0,90000,1937,67,3
